
2024/06/06 (14:25:17) | ===> btop++ v.1.3.2
2024/06/06 (14:25:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/06 (14:25:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:19) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:21) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:23) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:25) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:27) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:29) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:31) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:33) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:35) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:39) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:43) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:45) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:47) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:49) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:51) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:53) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:55) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:57) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:25:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:25:59) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:01) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:03) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:05) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:07) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:09) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:11) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:13) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:17) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/06 (14:26:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/06 (14:26:19) | WARNING: NVML: Failed to get GPU power usage: No data

2024/06/07 (13:26:43) | ===> btop++ v.1.3.2
2024/06/07 (13:26:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/07 (13:26:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:26:46) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:26:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:26:48) | WARNING: NVML: Failed to get GPU power usage: No data

2024/06/07 (13:26:52) | ===> btop++ v.1.3.2
2024/06/07 (13:26:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/07 (13:26:54) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:26:54) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:26:56) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:26:56) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:26:58) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:26:58) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:27:00) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:27:00) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:27:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:27:02) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:27:04) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:27:04) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:27:06) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:27:06) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/07 (13:27:08) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/07 (13:27:08) | WARNING: NVML: Failed to get GPU power usage: No data

2024/06/12 (15:06:55) | ===> btop++ v.1.3.2
2024/06/12 (15:06:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/12 (15:06:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:06:58) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:06:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:00) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:01) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:01) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:02) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:02) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:03) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:03) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:03) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:06) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:08) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:10) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:12) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:14) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:16) | WARNING: NVML: Failed to get GPU power usage: No data

2024/06/12 (15:07:17) | ===> btop++ v.1.3.2
2024/06/12 (15:07:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/12 (15:07:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:19) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:21) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:23) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:25) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:27) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:29) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:31) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:33) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:35) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:37) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:39) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:41) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2024/06/12 (15:07:43) | WARNING: NVML: Failed to get GPU power usage: No data
2024/06/12 (15:07:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
